056-410-110,087072,1654.95,190.48,150.0
056-410-120,087072,4733.64,544.84,150.0
056-420-020,087072,7939.38,913.82,150.0
056-430-030,087088,5583.93,642.71,150.0
056-440-020,087029,3203.39,368.71,150.0
056-440-030,087088,789.6,90.88,150.0
056-440-080,087029,0,0,0
064-380-010,087088,0,0,0
064-380-020,087013,16464.83,1895.1,150.0
066-140-090,087029,3154.63,363.09,150.0
066-220-020,087020,52461.67,6038.33,150.0
066-240-020,087057,0,0,0
066-250-070,087090,4625.75,532.42,150.0
066-250-080,087090,1033.26,118.92,150.0
066-250-090,087057,640.58,73.73,150.0
066-250-100,087057,516.58,59.45,150.0
066-250-110,087090,13150.0,1513.56,150.0
066-250-120,087057,4610.5,530.66,0
066-250-140,087090,2389.43,275.02,150.0
066-250-150,087057,3485.89,401.22,150.0
066-250-160,087057,766.09,88.17,0
067-012-020,087013,2878.5,331.31,150.0
067-012-050,087013,11430.0,1315.59,150.0
067-012-070,087013,104.04,11.97,150.0
067-012-090,087013,9336.85,1074.67,150.0
067-012-999,Null,0,0,0
067-013-010,087043,4660.55,536.42,150.0
067-013-020,087043,5076.44,584.29,150.0
067-013-030,087043,20758.33,2389.28,150.0
067-013-040,087043,1362.28,156.79,150.0
067-014-010,087043,11650.11,1340.92,150.0
067-014-020,087043,6942.69,799.1,150.0
067-014-030,087043,2024.34,233.0,150.0
067-014-040,087043,1616.06,186.0,150.0
067-014-060,087043,8383.48,964.93,0
067-014-080,087043,14882.34,1712.95,150.0
067-014-090,087043,9930.0,1142.94,150.0
067-014-100,087043,117.56,13.53,150.0
067-014-110,087043,171.41,19.72,150.0
067-014-120,087043,14685.17,1690.26,150.0
067-014-130,087043,2755.58,317.16,150.0
067-014-160,087043,9323.11,1073.08,0
067-021-010,087043,8057.36,927.4,150.0
067-021-020,087043,676.78,77.89,0
067-021-030,087043,8299.62,955.28,150.0
067-021-040,087043,5719.51,658.31,150.0
067-021-050,087043,3613.61,415.92,150.0
067-021-060,087043,6929.29,797.56,150.0
067-021-070,087043,1071.74,123.35,0
067-021-130,087043,12800.0,1473.28,150.0
067-021-140,087043,10251.07,1179.89,150.0
067-022-010,087013,4155.91,478.34,150.0
067-022-020,087013,2279.93,262.41,150.0
067-022-040,087013,1925.07,221.57,150.0
067-022-999,Null,0,0,0
067-031-020,087043,549.04,63.19,150.0
067-031-050,087043,13455.2,1548.69,150.0
067-031-060,087043,18272.02,2103.1,150.0
067-031-070,087043,3301.91,380.04,150.0
067-031-080,087043,8677.91,998.82,150.0
067-031-090,087043,10496.18,1208.11,150.0
067-031-100,087043,4808.43,553.45,150.0
067-032-010,087073,12175.66,1401.41,150.0
067-032-020,087043,4570.82,526.1,150.0
067-032-030,087032,4301.07,495.05,0
067-032-040,087032,3770.84,434.02,150.0
067-032-050,087032,8080.4,930.05,150.0
067-041-010,087043,14860.5,1710.44,150.0
067-041-020,087043,984.42,113.3,150.0
067-041-030,087043,12947.87,1490.29,150.0
067-041-040,087043,6510.04,749.3,150.0
067-041-060,087043,5439.96,626.13,0
067-041-070,087043,1909.26,219.75,150.0
067-041-080,087043,1139.01,131.1,150.0
067-042-010,087043,107.73,12.39,150.0
067-042-020,087043,2318.17,266.82,150.0
067-042-030,087043,4040.24,465.03,150.0
067-042-040,087043,6214.58,715.29,0
067-043-050,087032,247.26,28.45,150.0
067-043-060,087032,6720.65,773.54,150.0
067-043-070,087032,6685.86,769.54,150.0
067-050-010,087043,35.08,4.03,150.0
067-050-030,087043,9675.05,1113.59,150.0
067-050-040,087043,23007.26,2648.13,150.0
067-050-070,087043,3042.97,350.24,150.0
067-050-080,087043,14325.76,1648.89,150.0
067-050-090,087043,4796.64,552.09,0
067-050-120,087043,1567.09,180.37,0
067-050-130,087043,1712.11,197.06,150.0
067-050-140,087043,8803.07,1013.23,0
067-060-010,087043,164.22,18.9,150.0
067-060-030,087043,7729.42,889.65,150.0
067-060-050,087043,775.56,89.26,150.0
067-060-060,087043,15138.0,1742.38,150.0
067-060-080,087032,1237.27,142.4,150.0
067-060-090,087043,15075.54,1735.19,150.0
067-060-100,087043,6534.94,752.17,150.0
067-060-110,087043,153.86,17.7,150.0
067-060-120,087043,1215.3,139.88,150.0
067-060-130,087043,1017.45,117.1,150.0
067-060-140,087043,142.22,16.36,150.0
067-060-150,087032,1153.85,132.8,150.0
067-060-180,087043,318.52,36.66,150.0
067-060-260,087043,15680.0,1804.76,150.0
067-060-270,087043,15193.84,1748.81,150.0
067-060-280,087043,17509.92,2015.39,150.0
067-060-340,087032,10814.7,1244.77,0
067-060-350,087032,7548.24,868.8,150.0
067-060-360,087043,13382.76,1540.35,150.0
067-060-380,087043,2594.89,298.67,150.0
067-060-400,087043,17780.0,2046.47,150.0
067-060-410,087043,15952.2,1836.09,150.0
067-060-440,087043,5123.17,589.67,150.0
067-060-450,087043,15202.74,1749.83,150.0
067-060-460,087043,10052.04,1156.98,150.0
067-070-010,087043,6261.12,720.65,150.0
067-070-020,087043,6171.17,710.3,150.0
067-070-040,087043,420.08,48.35,150.0
067-070-060,087043,19549.27,2250.12,150.0
067-070-070,087043,18286.06,2104.72,150.0
067-070-080,087043,3480.17,400.56,150.0
067-080-020,087032,7183.94,826.87,150.0
067-080-040,087032,12012.06,1382.58,150.0
067-080-050,087043,7555.85,869.67,150.0
067-080-070,087043,5123.28,589.68,150.0
067-080-110,087043,12982.85,1494.32,150.0
067-080-120,087043,5519.5,635.29,150.0
067-080-130,087043,14126.54,1625.96,150.0
067-080-140,087043,11702.12,1346.91,150.0
067-080-150,087043,6701.39,771.32,150.0
067-080-160,087043,5481.99,630.97,0
